  , Royal Farms , Brand X , Maggie Moos , Canton Dental , Manchurian Wok , Jimmy Seafood , K&K Dry Cleaner , Brand Y , Theo Harris , C&R Pub , Brewer's Cask , Daily Grind , Royal Farms , Seven Eleven Fells , Yellow Dog Tavern , Seven Eleven , Pasta Mista , Brand Z , Station Coffee House , Towson Hot Bagles , FroYo , Canton Car Wash , Ace Hardware , Cloud 9 , Natty Bo Store , Dr Oz , Handbags in the City , ads placed , constraint
 Royal Farms ,  -  ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 403 , 89 , 0 ,  -  , 675 , 0 , 286 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 1453 , 1453
 Brand X , 0 ,  -  , 0 ,  -  , 0 , 340 , 0 ,  -  ,  -  , 403 , 89 , 0 , 0 , 112 , 56 , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 1000 , 1000
 Maggie Moos , 0 ,  -  ,  -  ,  -  , 81 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 0 ,  -  , 0 , 0 , 0 , 0 ,  -  , 0 , 81 , 81
 Canton Dental , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 150 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 150 , 150
 Manchurian Wok , 0 ,  -  , 0 ,  -  ,  -  , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 378 , 0 , 0 ,  -  ,  -  , 0 ,  -  , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 378 , 378
 Jimmy Seafood , 0 ,  -  , 0 ,  -  , 0 ,  -  , 0 ,  -  ,  -  ,  -  ,  -  , 0 , 0 , 0 ,  -  , 0 , 340 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 340 , 340
 K&K Dry Cleaner , 0 ,  -  , 109 ,  -  , 0 , 0 ,  -  ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 34 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 24 , 0 ,  -  , 0 , 167 , 167
 Brand Y , 0 ,  -  , 89 ,  -  , 0 , 340 , 167 ,  -  ,  -  , 0 , 0 , 119 , 0 , 0 , 56 , 0 , 156 ,  -  , 0 , 0 , 0 , 360 , 0 , 24 , 178 ,  -  , 11 , 1500 , 1500
 Theo Harris , 0 ,  -  , 0 ,  -  , 100 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 100 , 100
 C&R Pub , 0 ,  -  , 0 ,  -  , 0 ,  -  , 0 ,  -  ,  -  ,  -  ,  -  , 0 , 0 , 0 ,  -  , 503 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 503 , 503
 Brewer's Cask , 89 ,  -  , 0 ,  -  , 0 ,  -  , 0 ,  -  ,  -  ,  -  ,  -  , 0 , 0 , 0 ,  -  , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 89 , 89
 Daily Grind , 0 ,  -  , 317 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 317 , 317
 Royal Farms ,  -  ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 ,  -  , 0 , 0 , 0 , 212 ,  -  , 234 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 446 , 446
 Seven Eleven Fells , 0 ,  -  , 0 ,  -  , 378 , 0 , 167 ,  -  ,  -  , 0 , 0 , 0 , 0 ,  -  , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 130 ,  -  , 0 , 675 , 675
 Yellow Dog Tavern , 0 ,  -  , 0 ,  -  , 0 ,  -  , 0 ,  -  ,  -  ,  -  ,  -  , 0 , 181 , 0 ,  -  , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 181 , 181
 Seven Eleven , 825 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 ,  -  , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 48 ,  -  , 0 , 873 , 873
 Pasta Mista , 0 ,  -  , 0 ,  -  ,  -  , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 88 , 0 , 0 , 0 ,  -  ,  -  , 234 ,  -  , 32 , 0 , 0 , 0 , 0 ,  -  , 0 , 354 , 354
 Brand Z , 1127 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 873 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 2000 , 2000
 Station Coffee House , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 ,  -  ,  -  , 236 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 236 , 236
 Towson Hot Bagles , 0 ,  -  , 0 ,  -  ,  -  , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  ,  -  , 0 ,  -  , 0 , 360 , 207 , 0 , 0 ,  -  , 0 , 567 , 567
 FroYo , 0 ,  -  ,  -  ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 216 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 0 ,  -  , 0 , 0 , 0 , 0 ,  -  , 0 , 216 , 216
 Canton Car Wash , 360 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 0 , 0 ,  -  , 0 , 0 , 0 ,  -  , 0 , 360 , 360
 Ace Hardware , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 530 , 0 , 0 ,  -  , 0 , 0 ,  -  , 0 , 530 , 530
 Cloud 9 , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 24 , 0 , 0 , 0 ,  -  ,  -  ,  -  ,  -  , 24 , 24
 Natty Bo Store , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 178 , 0 , 0 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 ,  -  ,  -  ,  -  ,  -  , 178 , 178
 Dr Oz , 0 ,  -  , 0 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 50 , 0 ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 50 , 50
 Handbags in the City , 0 ,  -  , 129 ,  -  , 0 , 0 , 0 ,  -  ,  -  , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  -  , 0 , 0 , 32 , 0 , 0 ,  -  ,  -  ,  -  ,  -  , 161 , 161
 ads published , 2401 , 0 , 644 , 0 , 559 , 680 , 334 , 0 , 0 , 806 , 178 , 335 , 269 , 1343 , 112 , 1746 , 708 , 0 , 468 , 940 , 64 , 720 , 207 , 48 , 356 , 0 , 11 , 12929 , 12929
 constraint , 2906 , 0 , 644 , 0 , 756 , 680 , 334 , 0 , 0 , 806 , 178 , 864 , 2046 , 1350 , 112 , 1746 , 708 , 0 , 468 , 1134 , 64 , 720 , 520 , 48 , 356 , 0 , 22 , 16462 ,  
